AAPL,APPLE INC (AAPL)
ABBV,ABBVIE INC (ABBV)
ABC,AMERISOURCE BERGEN CORP (ABC)
ABNB,AIRBNB INC (ABNB)
ABT,ABBOTT LABS (ABT)
ACN,ACCENTURE PLC IRELAND (ACN)
ADBE,ADOBE SYSTEMS INC (ADBE)
ADI,ANALOG DEVICES INC (ADI)
ADP,AUTOMATIC DATA PROCESSING INC (ADP)
ADSK,AUTODESK INC (ADSK)
ALGN,ALIGN TECHNOLOGY INC (ALGN)
AMAT,APPLIED MATLS INC (AMAT)
AMD,ADVANCED MICRO DEVICES INC (AMD)
AMGN,AMGEN INC (AMGN)
AMZN,AMAZON INC (AMZN)
ANET,ARISTA NETWORKS INC (ANET)
ANTM,ANTHEM INC (ANTM)
ASML,ASML HOLDING (ASML)
AVGO,BROADCOM INC (AVGO)
AXP,AMERICAN EXPRESS CO (AXP)
BA,BOEING CO (BA)
BABA,ALIBABA GROUP HLDG  (BABA)
BDX,BECTON DICKINSON & CO (BDX)
BIDU,BAIDU INC (BIDU)
BIIB,BIOGEN INC (BIIB)
BKNG,BOOKING HOLDINGS INC (BKNG)
BLK,BLACKROCK INC (BLK)
BNTX,BIONTECH SE (BNTX)
BURL,BURLINGTON STORES INC (BURL)
CAR,AVIS BUDGET GROUP (CAR)
CAT,CATERPILLAR INC (CAT)
CF,CF INDS HLDGS INC (CF)
CHTR,CHARTER COMMUNICATIONS INC  (CHTR)
CI,CIGNA CORP (CI)
CLX,CLOROX CO (CLX)
CME,CME GROUP INC (CME)
CMG,CHIPOTLE MEXICAN GRILL INC (CMG)
COF,CAPITAL ONE FINL CORP (COF)
COIN,COINBASE GLOBAL INC (COIN)
COP,CONOCO PHILLIPS (COP)
COST,COSTCO WHSL CORP (COST)
COUP,COUPA SOFTWARE INC (COUP)
CRM,SALESFORCE INC (CRM)
CRWD,CROWDSTRIKE HLDGS INC (CRWD)
CVNA,CARVANA CO (CVNA)
CVS,CVS HEALTH CORP (CVS)
CVX,CHEVRON CORP (CVX)
DASH,DOORDASH INC (DASH)
DDOG,DATADOG INC (DDOG)
DE,DEERE & CO (DE)
DFS,DISCOVER FINL SVCS (DFS)
DG,DOLLAR GEN CORP (DG)
DHR,DANAHER CORPORATION (DHR)
DIS,DISNEY WALT CO (DIS)
